family,gene,n_subtypes
lung,ABL1,4
lung,AKT1,4
lung,ATM,4
lung,BLM,4
lung,BRCA1,4
lung,CREBBP,4
lung,CTNNB1,4
lung,EGFR,4
lung,EP300,4
lung,ERBB2,4
lung,ERBB3,4
lung,ERBB4,4
lung,FGFR1,4
lung,FGFR2,4
lung,HRAS,4
lung,JAK1,4
lung,JAK2,4
lung,KDR,4
lung,KIT,4
lung,KRAS,4
lung,MAPK1,4
lung,MSH2,4
lung,NRAS,4
lung,PDGFRB,4
lung,PIK3CA,4
lung,PIK3R1,4
lung,PTPN11,4
lung,SMAD3,4
lung,SMARCA4,4
lung,SOS1,4
lung,SRC,4
lung,STAT3,4
lung,STAT5B,4
lung,TP53,4
uterine,AKT1,5
uterine,ATM,5
uterine,CREBBP,5
uterine,CTNNB1,5
uterine,EGFR,5
uterine,EP300,5
uterine,ERBB2,5
uterine,ERBB3,5
uterine,ERBB4,5
uterine,FGFR1,5
uterine,FGFR2,5
uterine,HRAS,5
uterine,JAK2,5
uterine,KDR,5
uterine,KIT,5
uterine,KRAS,5
uterine,MAPK1,5
uterine,PIK3CA,5
uterine,PIK3R1,5
uterine,PTPN11,5
uterine,SMAD3,5
uterine,TP53,5
stomach,ABL1,4
stomach,EP300,4
stomach,ERBB3,4
stomach,ESR1,4
stomach,FGFR1,4
stomach,FGFR2,4
stomach,HRAS,4
stomach,JAK2,4
stomach,KRAS,4
stomach,MYC,4
stomach,NRAS,4
stomach,RUNX1,4
stomach,SMAD3,4
stomach,SMAD4,4
stomach,SMARCA4,4
stomach,STAT5B,4
stomach,TP53,4
breast,ATM,6
breast,CTNNB1,6
breast,EP300,6
breast,FGFR1,6
breast,FGFR2,6
breast,MSH2,6
breast,TP53,6
heme,BRCA1,5
heme,CREBBP,5
heme,CTNNB1,5
heme,EGFR,5
heme,EP300,5
heme,ERBB2,5
heme,ERBB3,5
heme,ERBB4,5
heme,FGFR2,5
heme,HRAS,5
heme,JAK2,5
heme,KDR,5
heme,KIT,5
heme,KRAS,5
heme,MSH2,5
heme,NRAS,5
heme,NTRK1,5
heme,PIK3CA,5
heme,PIK3R1,5
heme,PTPN11,5
heme,SMARCA4,5
heme,SOS1,5
heme,SRC,5
heme,STAT3,5
heme,TP53,5
